
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.4)

2024-03-25T22:32:44.691+03:00  INFO 23628 --- [severstal] [           main] r.m.severstal.SeverstalApplication       : Starting SeverstalApplication using Java 22 with PID 23628 (D:\repos\hackathon\severstal\target\classes started by rE in D:\repos\hackathon\severstal)
2024-03-25T22:32:44.692+03:00 DEBUG 23628 --- [severstal] [           main] r.m.severstal.SeverstalApplication       : Running with Spring Boot v3.2.4, Spring v6.1.5
2024-03-25T22:33:02.645+03:00  INFO 23628 --- [severstal] [pool-4-thread-8] Tender Pro Worker                        : Parsing page#63: https://www.tender.pro/api/landings/etp?page=63&tender_name=Труба&
2024-03-25T22:33:02.645+03:00  INFO 23628 --- [severstal] [pool-4-thread-9] Tender Pro Worker                        : Parsing page#64: https://www.tender.pro/api/landings/etp?page=64&tender_name=Труба&
2024-03-25T22:33:02.645+03:00  INFO 23628 --- [severstal] [ool-4-thread-10] Tender Pro Worker                        : Parsing page#66: https://www.tender.pro/api/landings/etp?page=66&tender_name=Труба&
2024-03-25T22:33:02.645+03:00  INFO 23628 --- [severstal] [pool-4-thread-1] Tender Pro Worker                        : Parsing page#68: https://www.tender.pro/api/landings/etp?page=68&tender_name=Труба&
2024-03-25T22:33:05.165+03:00  INFO 23628 --- [severstal] [pool-4-thread-3] Tender Pro Worker                        : Parsing page#78: https://www.tender.pro/api/landings/etp?page=78&tender_name=Труба&
2024-03-25T22:33:05.165+03:00  INFO 23628 --- [severstal] [pool-4-thread-8] Tender Pro Worker                        : Parsing page#79: https://www.tender.pro/api/landings/etp?page=79&tender_name=Труба&
2024-03-25T22:33:05.165+03:00  INFO 23628 --- [severstal] [pool-4-thread-2] Tender Pro Worker                        : Parsing page#77: https://www.tender.pro/api/landings/etp?page=77&tender_name=Труба&
2024-03-25T22:33:05.165+03:00  INFO 23628 --- [severstal] [pool-4-thread-7] Tender Pro Worker                        : Parsing page#74: https://www.tender.pro/api/landings/etp?page=74&tender_name=Труба&
2024-03-25T22:33:05.165+03:00  INFO 23628 --- [severstal] [ool-4-thread-10] Tender Pro Worker                        : Parsing page#73: https://www.tender.pro/api/landings/etp?page=73&tender_name=Труба&
2024-03-25T22:33:05.165+03:00  INFO 23628 --- [severstal] [pool-4-thread-6] Tender Pro Worker                        : Parsing page#76: https://www.tender.pro/api/landings/etp?page=76&tender_name=Труба&
2024-03-25T22:33:05.165+03:00  INFO 23628 --- [severstal] [pool-4-thread-9] Tender Pro Worker                        : Parsing page#72: https://www.tender.pro/api/landings/etp?page=72&tender_name=Труба&
2024-03-25T22:33:05.165+03:00  INFO 23628 --- [severstal] [pool-4-thread-4] Tender Pro Worker                        : Parsing page#70: https://www.tender.pro/api/landings/etp?page=70&tender_name=Труба&
2024-03-25T22:33:05.165+03:00  INFO 23628 --- [severstal] [pool-4-thread-5] Tender Pro Worker                        : Parsing page#75: https://www.tender.pro/api/landings/etp?page=75&tender_name=Труба&
2024-03-25T22:33:05.165+03:00  INFO 23628 --- [severstal] [pool-4-thread-1] Tender Pro Worker                        : Parsing page#71: https://www.tender.pro/api/landings/etp?page=71&tender_name=Труба&
2024-03-25T22:33:07.564+03:00  INFO 23628 --- [severstal] [pool-4-thread-7] Tender Pro Worker                        : Parsing page#80: https://www.tender.pro/api/landings/etp?page=80&tender_name=Труба&
2024-03-25T22:33:07.564+03:00  INFO 23628 --- [severstal] [ool-4-thread-10] Tender Pro Worker                        : Parsing page#86: https://www.tender.pro/api/landings/etp?page=86&tender_name=Труба&
2024-03-25T22:33:07.564+03:00  INFO 23628 --- [severstal] [pool-4-thread-5] Tender Pro Worker                        : Parsing page#83: https://www.tender.pro/api/landings/etp?page=83&tender_name=Труба&
2024-03-25T22:33:07.564+03:00  INFO 23628 --- [severstal] [pool-4-thread-1] Tender Pro Worker                        : Parsing page#84: https://www.tender.pro/api/landings/etp?page=84&tender_name=Труба&
2024-03-25T22:33:07.564+03:00  INFO 23628 --- [severstal] [pool-4-thread-6] Tender Pro Worker                        : Parsing page#87: https://www.tender.pro/api/landings/etp?page=87&tender_name=Труба&
2024-03-25T22:33:07.564+03:00  INFO 23628 --- [severstal] [pool-4-thread-3] Tender Pro Worker                        : Parsing page#81: https://www.tender.pro/api/landings/etp?page=81&tender_name=Труба&
2024-03-25T22:33:07.564+03:00  INFO 23628 --- [severstal] [pool-4-thread-9] Tender Pro Worker                        : Parsing page#85: https://www.tender.pro/api/landings/etp?page=85&tender_name=Труба&
2024-03-25T22:33:07.564+03:00  INFO 23628 --- [severstal] [pool-4-thread-4] Tender Pro Worker                        : Parsing page#82: https://www.tender.pro/api/landings/etp?page=82&tender_name=Труба&
2024-03-25T22:33:07.564+03:00  INFO 23628 --- [severstal] [pool-4-thread-2] Tender Pro Worker                        : Parsing page#89: https://www.tender.pro/api/landings/etp?page=89&tender_name=Труба&
2024-03-25T22:33:07.564+03:00  INFO 23628 --- [severstal] [pool-4-thread-8] Tender Pro Worker                        : Parsing page#88: https://www.tender.pro/api/landings/etp?page=88&tender_name=Труба&
2024-03-25T22:33:09.702+03:00  INFO 23628 --- [severstal] [pool-4-thread-8] Tender Pro Worker                        : Parsing page#94: https://www.tender.pro/api/landings/etp?page=94&tender_name=Труба&
2024-03-25T22:33:09.702+03:00  INFO 23628 --- [severstal] [pool-4-thread-9] Tender Pro Worker                        : Parsing page#91: https://www.tender.pro/api/landings/etp?page=91&tender_name=Труба&
2024-03-25T22:33:09.702+03:00  INFO 23628 --- [severstal] [pool-4-thread-1] Tender Pro Worker                        : Parsing page#95: https://www.tender.pro/api/landings/etp?page=95&tender_name=Труба&
2024-03-25T22:33:09.702+03:00  INFO 23628 --- [severstal] [pool-4-thread-7] Tender Pro Worker                        : Parsing page#90: https://www.tender.pro/api/landings/etp?page=90&tender_name=Труба&
2024-03-25T22:33:09.702+03:00  INFO 23628 --- [severstal] [pool-4-thread-4] Tender Pro Worker                        : Parsing page#99: https://www.tender.pro/api/landings/etp?page=99&tender_name=Труба&
2024-03-25T22:33:09.702+03:00  INFO 23628 --- [severstal] [pool-4-thread-3] Tender Pro Worker                        : Parsing page#93: https://www.tender.pro/api/landings/etp?page=93&tender_name=Труба&
2024-03-25T22:33:09.702+03:00  INFO 23628 --- [severstal] [pool-4-thread-2] Tender Pro Worker                        : Parsing page#92: https://www.tender.pro/api/landings/etp?page=92&tender_name=Труба&
2024-03-25T22:33:09.702+03:00  INFO 23628 --- [severstal] [pool-4-thread-6] Tender Pro Worker                        : Parsing page#97: https://www.tender.pro/api/landings/etp?page=97&tender_name=Труба&
